SimpleMLP(
  (features): Sequential(
    (0): Linear(in_features=91, out_features=1000, bias=True)
    (1): ReLU(inplace=True)
	Time_Epoch/train_phase/train_stream/Task000 = 0.0882
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9806
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 28 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1486
	Loss_MB/train_phase/train_stream/Task000 = 0.0966
	Time_Epoch/train_phase/train_stream/Task000 = 0.0889
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9822
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 29 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1432
	Loss_MB/train_phase/train_stream/Task000 = 0.0935
	Time_Epoch/train_phase/train_stream/Task000 = 0.0878
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9757
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 30 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1371
	Loss_MB/train_phase/train_stream/Task000 = 0.0838
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9838
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 31 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1308
	Loss_MB/train_phase/train_stream/Task000 = 0.0880
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9838
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 32 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1254
	Loss_MB/train_phase/train_stream/Task000 = 0.1364
	Time_Epoch/train_phase/train_stream/Task000 = 0.0880
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9822
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 33 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1204
	Loss_MB/train_phase/train_stream/Task000 = 0.1113
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9887
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 34 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1113
	Loss_MB/train_phase/train_stream/Task000 = 0.0516
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9903
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 35 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1051
	Loss_MB/train_phase/train_stream/Task000 = 0.1079
	Time_Epoch/train_phase/train_stream/Task000 = 0.0879
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9870
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 36 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.1012
	Loss_MB/train_phase/train_stream/Task000 = 0.0882
	Time_Epoch/train_phase/train_stream/Task000 = 0.0876
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9903
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 37 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0948
	Loss_MB/train_phase/train_stream/Task000 = 0.0723
	Time_Epoch/train_phase/train_stream/Task000 = 0.0881
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9887
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 38 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0915
	Loss_MB/train_phase/train_stream/Task000 = 0.0475
	Time_Epoch/train_phase/train_stream/Task000 = 0.0880
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9935
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 39 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0931
	Loss_MB/train_phase/train_stream/Task000 = 0.1445
	Time_Epoch/train_phase/train_stream/Task000 = 0.0877
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9903
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 40 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0899
	Loss_MB/train_phase/train_stream/Task000 = 0.2150
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9903
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 41 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0815
	Loss_MB/train_phase/train_stream/Task000 = 0.0521
	Time_Epoch/train_phase/train_stream/Task000 = 0.0871
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9919
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 42 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0804
	Loss_MB/train_phase/train_stream/Task000 = 0.0733
	Time_Epoch/train_phase/train_stream/Task000 = 0.0880
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9935
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 43 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0752
	Loss_MB/train_phase/train_stream/Task000 = 0.0474
	Time_Epoch/train_phase/train_stream/Task000 = 0.0882
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9919
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 44 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0719
	Loss_MB/train_phase/train_stream/Task000 = 0.0487
	Time_Epoch/train_phase/train_stream/Task000 = 0.0877
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9935
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 45 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0700
	Loss_MB/train_phase/train_stream/Task000 = 0.1183
	Time_Epoch/train_phase/train_stream/Task000 = 0.0934
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 0.9412

0it [00:00, ?it/s]
Epoch 46 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0698
	Loss_MB/train_phase/train_stream/Task000 = 0.0945
	Time_Epoch/train_phase/train_stream/Task000 = 0.0936
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 47 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0665
	Loss_MB/train_phase/train_stream/Task000 = 0.0715
	Time_Epoch/train_phase/train_stream/Task000 = 0.0886
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 48 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0605
	Loss_MB/train_phase/train_stream/Task000 = 0.0267
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9968
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 49 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0561
	Loss_MB/train_phase/train_stream/Task000 = 0.0331
	Time_Epoch/train_phase/train_stream/Task000 = 0.0879
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 50 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0572
	Loss_MB/train_phase/train_stream/Task000 = 0.0846
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 51 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0594
	Loss_MB/train_phase/train_stream/Task000 = 0.0554
	Time_Epoch/train_phase/train_stream/Task000 = 0.0888
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 52 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0508
	Loss_MB/train_phase/train_stream/Task000 = 0.0489
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 53 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0521
	Loss_MB/train_phase/train_stream/Task000 = 0.0443
	Time_Epoch/train_phase/train_stream/Task000 = 0.0877
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 54 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0507
	Loss_MB/train_phase/train_stream/Task000 = 0.0279
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 55 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0510
	Loss_MB/train_phase/train_stream/Task000 = 0.0585
	Time_Epoch/train_phase/train_stream/Task000 = 0.0875
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9968
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 56 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0478
	Loss_MB/train_phase/train_stream/Task000 = 0.0168
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 57 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0461
	Loss_MB/train_phase/train_stream/Task000 = 0.0503
	Time_Epoch/train_phase/train_stream/Task000 = 0.0882
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9951
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 58 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0470
	Loss_MB/train_phase/train_stream/Task000 = 0.0250
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9968
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 59 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0409
	Loss_MB/train_phase/train_stream/Task000 = 0.0230
	Time_Epoch/train_phase/train_stream/Task000 = 0.0881
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 60 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0400
	Loss_MB/train_phase/train_stream/Task000 = 0.0589
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 61 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0420
	Loss_MB/train_phase/train_stream/Task000 = 0.0808
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 62 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0399
	Loss_MB/train_phase/train_stream/Task000 = 0.0054
	Time_Epoch/train_phase/train_stream/Task000 = 0.0875
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 63 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0402
	Loss_MB/train_phase/train_stream/Task000 = 0.0592
	Time_Epoch/train_phase/train_stream/Task000 = 0.0889
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 64 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0384
	Loss_MB/train_phase/train_stream/Task000 = 0.0535
	Time_Epoch/train_phase/train_stream/Task000 = 0.0889
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9968
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 65 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0365
	Loss_MB/train_phase/train_stream/Task000 = 0.0766
	Time_Epoch/train_phase/train_stream/Task000 = 0.0878
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 66 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0335
	Loss_MB/train_phase/train_stream/Task000 = 0.0286
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 67 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0355
	Loss_MB/train_phase/train_stream/Task000 = 0.0871
	Time_Epoch/train_phase/train_stream/Task000 = 0.0883
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 68 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0358
	Loss_MB/train_phase/train_stream/Task000 = 0.0547
	Time_Epoch/train_phase/train_stream/Task000 = 0.0875
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9968
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 69 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0309
	Loss_MB/train_phase/train_stream/Task000 = 0.0444
	Time_Epoch/train_phase/train_stream/Task000 = 0.0875
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 70 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0305
	Loss_MB/train_phase/train_stream/Task000 = 0.0344
	Time_Epoch/train_phase/train_stream/Task000 = 0.0880
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 71 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0297
	Loss_MB/train_phase/train_stream/Task000 = 0.0225
	Time_Epoch/train_phase/train_stream/Task000 = 0.0884
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 72 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0335
	Loss_MB/train_phase/train_stream/Task000 = 0.0179
	Time_Epoch/train_phase/train_stream/Task000 = 0.0880
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9984
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 73 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0286
	Loss_MB/train_phase/train_stream/Task000 = 0.0082
	Time_Epoch/train_phase/train_stream/Task000 = 0.0885
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 0.9968
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

0it [00:00, ?it/s]
Epoch 74 ended.
	Loss_Epoch/train_phase/train_stream/Task000 = 0.0280
	Loss_MB/train_phase/train_stream/Task000 = 0.0128
	Time_Epoch/train_phase/train_stream/Task000 = 0.0876
	Top1_Acc_Epoch/train_phase/train_stream/Task000 = 1.0000
	Top1_Acc_MB/train_phase/train_stream/Task000 = 1.0000

